Cobertura (%);49.58
Total na letra;852
Total transcrito;1566

Palavras não cantadas
nate;dealin;human;being;need;need;from;thoughts;tellin;gettin;loud;therapist;somethin;funny;goin;started;thinkin;cart;new;route;yard;noose;let;air;air;searchin;does;nate;grabbin;keepsakes;leavin;burdens;brought;few;lookin;view;concerns;pickin;cues;quite;nervous;lose;sight;gets;blurry;might;hurt;prolly;journey;worth;grab;coats;minute;roam;lookin;antidote;vivid;admit;classic;mode;need;pity;given;condone;talkin;ma;nose;crackin;lookin;hope;seen;seen;makin;wrote;scared;these;stages;crowd;thoughts;drown;self;hatred;forget;saying;beat;somethin;drums;comin;head;nothin;pump;stomach;wipe;ocd;tryna;push;buttons;intricate;syllable;intimate;call;wanna;call;forgettable;leave;deep;could;thinkin;cinematic;makin;movies;music;videos;videos;videos;videos;rise;health;declines;somethin;trapped;try;suffocate;hopin;dies;try;underwater;comes;nowhere;evil;hovers;over;millions;relate;must;as;crazy;as;point;makin;powerful;place;feed;affect;powerful;cool;safe;only;find;cut;murder;faith;woo;developin;benefits;nothin;meddle;delicate;relevant;depends;measure;measurement;bag;give;evidence;evident;dependable;tentative;gentleman;depending;genuine;elegant;afraid;grip;proper;etiquette;keep;myself;celebrate;ah;ah;better;grab;balloons;invite;friends;seatbelts;strap;em;everybody;smilin;road;predict;tone;resist;sound;better;raise;fist;search;begins;enjoy;trip;huh

Tipo;Original;Usuário;Similaridade
MAIOR;Hey;Hey;1.0000
MAIOR;hey;it,;1.0000
MAIOR;hey;know;1.0000
MAIOR;with;so;1.0000
MAIOR;with;me;1.0000
MAIOR;not;the;1.0000
MAIOR;Got;don't;1.0000
MAIOR;with;know;1.0000
MAIOR;criminal;don't;1.0000
MAIOR;or;what;1.0000
MENOR;Drums;vomit;0.3873
MENOR;coats;crack;0.3832
MENOR;measure;I;0.3718
MENOR;benefits;I;0.3717
MENOR;condone;And;0.3714
MENOR;measurement;I'm;0.3694
MENOR;buttons;like;0.3683
MENOR;dependable;criminal.;0.3664
MENOR;etiquette;come;0.3557
MENOR;smilin;Yeah!;0.3441

LISTA COMPLETA
Original;Usuário;Similaridade
out;we;1.0000
there;ain't;1.0000
kids;to;1.0000
grab;go,;0.4886
your;to;1.0000
coats;crack;0.3832
Been;the;1.0000
a;code,;1.0000
minute;I'm;0.4858
I;classical,;1.0000
know;don't;1.0000
now;repeat;0.5906
I'm;it;1.0000
back;to;1.0000
to;me,;1.0000
roam;but;0.4044
Lookin;I;0.7226
for;can't;1.0000
the;conduct,;1.0000
antidote;talking;0.4150
to;down;1.0000
crack;to;1.0000
the;me,;1.0000
code;am;0.8603
Pretty;I;1.0000
vivid;cracking;0.4512
I;notes;1.0000
admit;for;0.5707
it;cracking;1.0000
I'm;jokes,;1.0000
in;I'm;1.0000
classic;looking;0.5971
mode;at;0.4056
Don't;jokes;1.0000
need;and;0.6390
pity;looking;0.4514
given;at;0.6460
to;the;1.0000
me;map;1.0000
but;the;1.0000
I;whole;1.0000
can't;PC;1.0000
condone;And;0.3714
Talkin;hearing;0.6868
down;a;1.0000
to;lot;1.0000
me;of;1.0000
I'ma;changes,;0.6273
have;what;1.0000
to;a;1.0000
crack;song;1.0000
your;about;1.0000
nose;that;0.6147
for;you;1.0000
crackin;should;0.7912
jokes;play;1.0000
I'm;I;1.0000
lookin;guess;0.7226
for;Karen;1.0000
the;and;1.0000
map;I;1.0000
to;walk;1.0000
hope;in;0.7838
you;the;1.0000
seen;stairs;0.6112
it;and;1.0000
You;look;1.0000
seen;at;0.6112
it;the;1.0000
Been;equality;1.0000
makin;summon;0.4096
a;faces;1.0000
whole;That's;1.0000
lot;when;1.0000
of;I;1.0000
changes;start;0.8919
Wrote;to;0.4814
a;get;1.0000
song;anxious;1.0000
about;That's;1.0000
that;when;1.0000
you;I;1.0000
should;thought;1.0000
play;it'd;1.0000
it;be;1.0000
I;dangerous;1.0000
get;That's;1.0000
scared;when;0.6214
when;I;1.0000
I;put;1.0000
walk;on;1.0000
on;my;1.0000
these;makeup;0.6544
stages;and;0.3950
I;jargon;1.0000
look;for;1.0000
at;killing;1.0000
the;the;1.0000
crowd;others;0.4251
and;Where'd;1.0000
see;he;1.0000
so;go?;1.0000
many;Ain't;1.0000
faces;that;1.0000
yeah;son?;0.8074
That's;Trance;1.0000
when;gave;1.0000
I;me,;1.0000
start;you;1.0000
to;see;1.0000
get;that;1.0000
anxious;coming;1.0000
That's;Hands;1.0000
when;on;1.0000
my;my;1.0000
thoughts;neck;0.7635
can;and;1.0000
be;tell;1.0000
dangerous;me;1.0000
That's;not;1.0000
when;Got;1.0000
I;a;1.0000
put;taste;1.0000
on;of;1.0000
my;the;1.0000
makeup;fame;1.0000
and;I;1.0000
drown;have;0.6589
in;for;1.0000
self;my;0.5152
hatred;son;0.4820
Forget;Throw;0.4261
what;back;1.0000
I'm;light,;1.0000
saying;I;0.7178
and;don't;1.0000
Where'd;want;1.0000
the;it;1.0000
beat;Why;0.5256
go;my;1.0000
Oh;flesh;0.8893
ain't;cleaned;1.0000
that;up;1.0000
somethin;my;0.7670
Drums;vomit;0.3873
came;Oh,;1.0000
in;so;1.0000
you;you;1.0000
ain't;did;1.0000
see;turn;1.0000
that;up;1.0000
comin;with;0.5103
Hands;my;1.0000
on;bones;1.0000
my;I;1.0000
head;say;0.6058
can't;don't;1.0000
tell;touch,;1.0000
me;no;1.0000
nothin;you;0.5267
Got;don't;1.0000
a;I;1.0000
taste;can;1.0000
of;be;1.0000
the;critical,;1.0000
fame;never;1.0000
had;typical;1.0000
to;If;1.0000
pump;you;0.5259
my;can;1.0000
stomach;ever;0.6237
Throw;sleep,;1.0000
it;well;1.0000
back;I'm;1.0000
up;a;1.0000
like;criminal;1.0000
I;If;1.0000
don't;you;1.0000
want;break;1.0000
it;the;1.0000
Wipe;never;0.6870
my;political,;1.0000
face;break;0.8144
clean;visual;1.0000
up;If;1.0000
my;you're;1.0000
vomit;here,;1.0000
OCD;I;0.4507
tryna;make;0.4055
push;you;0.5172
my;feel;1.0000
buttons;like;0.3683
I;an;1.0000
said;Indian;0.6437
don't;I;1.0000
touch;don't;0.9353
it;know;1.0000
now;what;0.5906
y'all;I'm;1.0000
done;doing,;0.5705
it;I;1.0000
I;don't;1.0000
can;know;1.0000
be;what;1.0000
critical;I'm;0.9353
never;doing,;1.0000
typical;I;1.0000
Intricate;don't;0.4385
with;know;1.0000
every;what;0.6457
syllable;I'm;0.4502
I'm;doing,;1.0000
a;I;1.0000
criminal;don't;1.0000
Intimate;know;0.4567
but;what;1.0000
never;I'm;1.0000
political;doing,;0.8681
pretty;I;1.0000
visual;don't;1.0000
Even;know;1.0000
if;what;1.0000
you;I'm;1.0000
hate;doing,;0.4757
it;I;1.0000
I'll;don't;0.5974
make;know;1.0000
it;what;1.0000
feel;I'm;1.0000
like;doing,;1.0000
you're;I;1.0000
in;don't;1.0000
it;know;1.0000
though;what;0.8809
You;I'm;1.0000
call;doing,;0.4610
me;I;1.0000
what;don't;1.0000
you;know;1.0000
wanna;what;0.7677
but;I'm;1.0000
never;doing,;1.0000
call;I;0.4610
me;don't;1.0000
forgettable;know;0.4218
Leave;what;0.5637
you;I'm;1.0000
deep;doing,;0.4981
in;I;1.0000
thought;don't;1.0000
I;know;1.0000
could;what;0.8474
never;I'm;1.0000
swim;doing,;1.0000
in;I;1.0000
the;don't;1.0000
kiddie;know;1.0000
pool;what;0.9493
Way;I'm;1.0000
that;doing,;1.0000
I;I;1.0000
been;don't;1.0000
thinkin;know;0.7730
is;what;1.0000
cinematic;I'm;0.5367
it's;doing,;1.0000
beautiful;I;0.8617
Man;don't;0.8611
I;know;1.0000
don't;what;1.0000
know;I'm;1.0000
if;doing,;1.0000
I'm;I;1.0000
makin;don't;0.4096
movies;know;0.5935
or;what;1.0000
music;I'm;0.5979
videos;doing,;0.5343
videos;I;0.5343
videos;don't;0.5343
videos;know;0.5343
Yeah;what;0.8074
the;I'm;1.0000
sales;doing,;1.0000
can;I;1.0000
rise;don't;0.4772
Doesn't;know;1.0000
mean;what;1.0000
much;I'm;1.0000
though;doing,;0.8809
when;I;1.0000
your;don't;1.0000
health;know;0.4786
declines;what;0.4979
See;I'm;1.0000
we've;doing,;0.7719
all;I;1.0000
got;don't;1.0000
somethin;know;0.7670
that;what;1.0000
we;I'm;1.0000
trapped;doing,;0.5104
inside;I;0.9424
That;don't;1.0000
we;know;1.0000
try;what;0.5181
to;I'm;1.0000
suffocate;doing,;0.7981
you;I;1.0000
know;don't;1.0000
hopin;know;0.4812
it;what;1.0000
dies;I'm;0.7351
Try;doing,;0.5181
to;I;1.0000
hold;don't;0.7210
it;know;1.0000
underwater;what;0.6609
but;I'm;1.0000
it;doing,;1.0000
always;I;0.6174
survives;don't;0.5365
Then;know;1.0000
it;what;1.0000
comes;I'm;0.7928
up;doing,;1.0000
out;I;1.0000
of;don't;1.0000
nowhere;know;0.7299
like;what;1.0000
an;I'm;1.0000
evil;doing,;0.5533
surprise;I;0.4873
Then;don't;1.0000
it;know;1.0000
hovers;what;0.4519
over;I'm;0.5327
you;doing,;1.0000
to;I;1.0000
tell;don't;1.0000
you;know;1.0000
millions;what;0.6506
of;I'm;1.0000
lies;doing,;0.5859
You;I;1.0000
don't;don't;1.0000
relate;know;0.4653
to;what;1.0000
that;I'm;1.0000
Must;doing,;0.5592
not;I;1.0000
be;don't;1.0000
as;know;0.5663
crazy;what;0.5185
as;I'm;0.5663
I;doing,;1.0000
am;I;1.0000
The;don't;1.0000
point;know;0.5147
I'm;what;1.0000
makin;I'm;0.4096
is;doing,;1.0000
the;I;1.0000
mind;don't;0.8742
is;know;1.0000
a;what;1.0000
powerful;I'm;0.5475
place;doing,;0.6385
And;I;1.0000
what;don't;1.0000
you;know;1.0000
feed;what;0.4509
it;I'm;1.0000
can;doing,;1.0000
affect;I;0.4542
you;don't;1.0000
in;know;1.0000
a;what;1.0000
powerful;I'm;0.5475
way;doing,;1.0000
It's;I;1.0000
pretty;don't;1.0000
cool;know;0.5543
right;what;0.8767
Yeah;I'm;0.8074
but;doing,;1.0000
it's;I;1.0000
not;don't;1.0000
always;know;0.6174
safe;what;0.7068
Just;I'm;1.0000
hang;doing,;1.0000
with;I;1.0000
me;don't;1.0000
this'll;know;0.6815
only;what;0.6501
take;I'm;1.0000
a;doing,;1.0000
moment;I;0.4152
okay;don't;0.7278
Just;know;1.0000
think;what;1.0000
about;I'm;1.0000
it;doing,;1.0000
for;I;1.0000
a;don't;1.0000
second;know;0.4730
if;what;1.0000
you;I'm;1.0000
look;doing,;1.0000
at;I;1.0000
your;don't;1.0000
face;know;0.8144
Every;what;0.6457
day;I'm;0.5495
when;doing,;1.0000
you;I;1.0000
get;don't;1.0000
up;know;1.0000
and;what;1.0000
think;I'm;1.0000
you'll;doing,;0.6995
never;I;1.0000
be;don't;1.0000
great;know;0.5878
You'll;what;0.6995
never;I'm;1.0000
be;doing,;1.0000
great;I;0.5878
not;don't;1.0000
because;know;0.9059
you're;what;1.0000
not;I'm;1.0000
but;doing,;1.0000
the;I;1.0000
hate;don't;0.4757
Will;know;1.0000
always;what;0.6174
find;I'm;0.6421
a;doing,;1.0000
way;I;1.0000
to;don't;1.0000
cut;know;0.5314
you;what;1.0000
up;I'm;1.0000
and;doing,;1.0000
murder;I;0.7812
your;don't;1.0000
faith;know;0.4090
woo;what;0.5172
I;I'm;1.0000
am;doing,;1.0000
developin;I;0.4980
take;don't;1.0000
a;know;1.0000
look;what;1.0000
at;I'm;1.0000
the;doing,;1.0000
benefits;I;0.3717
Nothin;don't;0.5267
to;know;1.0000
meddle;what;0.3938
with;I'm;1.0000
I;doing,;1.0000
can;I;1.0000
never;don't;1.0000
be;know;1.0000
delicate;what;0.4497
Am;I'm;1.0000
I;doing,;1.0000
even;I;1.0000
relevant;don't;0.4654
That;know;1.0000
depends;what;0.5283
how;I'm;0.5469
you;doing,;1.0000
measure;I;0.3718
it;don't;1.0000
Take;know;1.0000
a;what;1.0000
measurement;I'm;0.3694
then;doing,;1.0000
bag;I;0.6413
it;or;1.0000
up;if;1.0000
and;you;1.0000
give;can;0.7385
me;ever;1.0000
the;sleep;1.0000
evidence;well,;0.4272
Pretty;I'm;1.0000
evident;a;0.4457
dependable;criminal.;0.3664
can;If;1.0000
never;you're;1.0000
be;never;1.0000
tentative;political,;0.4511
I'm;or;1.0000
a;pretty;1.0000
gentleman;visual,;0.4727
depending;if;0.6301
on;you're;1.0000
if;here,;1.0000
I;I;1.0000
think;make;1.0000
you're;you;1.0000
genuine;feel;0.4794
Pretty;like;1.0000
elegant;an;0.4786
but;Indian;1.0000
not;to;1.0000
afraid;you.;0.5676
to;Come;1.0000
tell;into;1.0000
you;the;1.0000
to;world,;1.0000
get;and;1.0000
a;big;1.0000
grip;night;0.6555
Proper;will;0.4577
etiquette;come;0.3557
I;for;1.0000
keep;you.;0.7576
it;Even;1.0000
to;if;1.0000
myself;you;0.7085
when;don't,;1.0000
I;I;1.0000
celebrate;can;0.4429
ah;never;0.6936
ah;swim;0.6936
It's;in;1.0000
that;the;1.0000
time;kiddie;0.8305
again;pool.;0.5089
Better;The;0.5205
grab;way;0.4886
your;that;1.0000
balloons;I;0.4203
and;think;1.0000
invite;of;0.5141
your;this;1.0000
friends;enemy;0.5276
Seatbelts;is;0.4222
back;beautiful,;1.0000
on;man,;1.0000
yeah;I;0.8074
strap;don't;0.5261
em;know;0.5898
in;if;1.0000
Look;I'm;1.0000
at;gonna;1.0000
me;be;1.0000
everybody;a;0.6137
I'm;wizard.;1.0000
smilin;Yeah!;0.3441
big;The;1.0000
On;sales;1.0000
a;came;1.0000
road;out,;0.5612
right;it;0.8767
now;doesn't;0.5906
that;mean;1.0000
I;much;1.0000
can't;though,;1.0000
predict;when;0.4418
Tell;you're;1.0000
me;half;1.0000
Tone;the;0.4867
that;class,;1.0000
down;so;1.0000
but;you;1.0000
I;all;1.0000
can't;got;1.0000
resist;something;0.4134
Y'all;that;1.0000
know;went;1.0000
that;draft;1.0000
sound;inside,;0.6827
better;that;0.5205
raise;went;0.4516
your;dry,;1.0000
fist;suffocating,;0.5204
The;or;1.0000
search;hopefully;0.5461
begins;that;0.7432
I'm;kind;1.0000
back;of;1.0000
so;holdin';1.0000
enjoy;on;0.4741
the;the;1.0000
trip;waterway;0.5943
huh;that;0.5972
